#,title,videoUrl,videoId,publishedAt,position
1,"3.1 Negative Verb To Be & Past (aren't, wasn't, weren't)",https://www.youtube.com/watch?v=qF3ft3xXpwg&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=1,qF3ft3xXpwg,2023-04-10T05:16:37Z,0
2,"3.2 So & Such (so big that, such a difficult test)",https://www.youtube.com/watch?v=D7s15HKLtDw&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=2,D7s15HKLtDw,2023-04-10T05:17:06Z,1
3,"3.3 Negative Simple Past & Present (didn't, doesn't, can't)",https://www.youtube.com/watch?v=_Pr4gi_-4tE&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=3,_Pr4gi_-4tE,2023-04-10T05:17:24Z,2
4,3.4 Time Duration & Large Numbers (How long does it take),https://www.youtube.com/watch?v=qwz8WYPQ5JY&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=4,qwz8WYPQ5JY,2023-04-10T05:17:45Z,3
5,"3.5 Time Duration Past & Future (It took, It will take)",https://www.youtube.com/watch?v=jJPuHag5ALg&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=5,jJPuHag5ALg,2023-04-10T05:18:08Z,4
6,"3.6 Modals & Phrasal Verbs (wouldn't, shouldn't, count on)",https://www.youtube.com/watch?v=aOCriwygB1A&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=6,aOCriwygB1A,2023-04-10T05:18:27Z,5
7,"3.7 Time Questions & Possessives (When was the last time, Whose)",https://www.youtube.com/watch?v=RVUL-SBFZD0&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=7,RVUL-SBFZD0,2023-04-10T05:18:48Z,6
8,"3.8 Possessive 's & Present Perfect (Jesus's book, Have you ever)",https://www.youtube.com/watch?v=oclD4fTS7hY&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=8,oclD4fTS7hY,2023-04-10T05:19:13Z,7
9,3.9 Large Numbers & Would Like (What would you like them to do),https://www.youtube.com/watch?v=noJmFahpu2w&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=9,noJmFahpu2w,2023-04-10T05:19:30Z,8
10,"3.10 Time Expressions & Contrast (every other day, but, however)",https://www.youtube.com/watch?v=iSzcvdpj1HQ&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=10,iSzcvdpj1HQ,2023-04-10T05:19:50Z,9
11,"3.11 Want To & Percentages (Do you want him to come, 25%)",https://www.youtube.com/watch?v=s624ynNrLB0&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=11,s624ynNrLB0,2023-04-10T05:20:13Z,10
12,"3.12 Phrasal Verbs & Reported Speech (write down, she said she lived)",https://www.youtube.com/watch?v=YgaDm7QPFn8&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=12,YgaDm7QPFn8,2023-04-10T05:20:31Z,11
13,"3.13 Reported Speech & Possessives (she said she would, a friend of mine)",https://www.youtube.com/watch?v=VStTo8a3Lmk&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=13,VStTo8a3Lmk,2023-04-10T05:20:53Z,12
14,"3.14 Keep [verb-ing] & Large Numbers (keep going, keep spending)",https://www.youtube.com/watch?v=0w79W_7sDDI&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=14,0w79W_7sDDI,2023-04-10T05:21:35Z,13
15,"3.15 Phrasal Verbs & Present Perfect (sort out, since, for)",https://www.youtube.com/watch?v=CgM8DPpdOeM&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=15,CgM8DPpdOeM,2023-04-10T05:22:14Z,14
16,"3.16 There Be Forms (Was there, Have there been, Will there be)",https://www.youtube.com/watch?v=SgIHEb2eQvs&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=16,SgIHEb2eQvs,2023-04-10T05:26:04Z,15
17,"3.17 Perfect Modals & Short Answers (There may have been, Yes I can)",https://www.youtube.com/watch?v=-OmJLFewcsM&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=17,-OmJLFewcsM,2023-04-10T05:26:54Z,16
18,3.18 Feel Like [verb-ing] & Math (10 + 5 = 15),https://www.youtube.com/watch?v=fLutqQQ22oQ&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=18,fLutqQQ22oQ,2023-04-10T05:27:32Z,17
19,"3.19 First Conditional & Large Numbers (If I have time, I'll visit)",https://www.youtube.com/watch?v=Xa77tnDbjv0&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=19,Xa77tnDbjv0,2023-04-10T05:28:14Z,18
20,3.20 First Conditional Questions (Will you come if I invite you?),https://www.youtube.com/watch?v=DaUn3HNN4Lg&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=20,DaUn3HNN4Lg,2023-04-10T05:28:40Z,19
21,"3.21 Contrast & Phrasal Verbs (even though, even if, made up with)",https://www.youtube.com/watch?v=252zc2mV-a8&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=21,252zc2mV-a8,2023-04-10T05:29:10Z,20
22,"3.22 Cause Expressions (because of, due to the fact that)",https://www.youtube.com/watch?v=ZVUbB-mJPDY&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=22,ZVUbB-mJPDY,2023-04-10T05:29:38Z,21
23,"3.23 Second Conditional & Numbers (If I had money, I'd buy)",https://www.youtube.com/watch?v=FA3Q5Sj0hhY&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=23,FA3Q5Sj0hhY,2023-04-10T05:30:16Z,22
24,3.24 Second Conditional Negatives (I wouldn't go out if it rained),https://www.youtube.com/watch?v=EgGcWOwFqm0&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=24,EgGcWOwFqm0,2023-04-10T05:31:00Z,23
25,"3.25 Second Conditional & Contrast (despite, in spite of)",https://www.youtube.com/watch?v=-2bGLlhhk4M&list=PLAz9gX__ElWrCO8O3zRRMOwj2Bk5QtXTx&index=25,-2bGLlhhk4M,2023-04-10T05:31:45Z,24
