#,title,videoUrl,videoId,publishedAt,position
1,AI 3 001,https://www.youtube.com/watch?v=WTSzxhS0pIk&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=1,WTSzxhS0pIk,2020-03-14T22:31:39Z,0
2,AI 3 002,https://www.youtube.com/watch?v=U_P91CeXv7Q&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=2,U_P91CeXv7Q,2020-03-14T22:31:47Z,1
3,AI 3 003,https://www.youtube.com/watch?v=3UkMdP_oYUg&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=3,3UkMdP_oYUg,2020-03-14T22:31:53Z,2
4,AI 3 004,https://www.youtube.com/watch?v=e_x7r6ElIx0&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=4,e_x7r6ElIx0,2020-03-14T22:31:59Z,3
5,AI 3 005,https://www.youtube.com/watch?v=en2ATrQyG9A&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=5,en2ATrQyG9A,2020-03-14T22:32:06Z,4
6,AI 3 006,https://www.youtube.com/watch?v=CXE4YOCE2tg&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=6,CXE4YOCE2tg,2020-03-14T22:32:11Z,5
7,AI 3 007,https://www.youtube.com/watch?v=aYO9WNIV4Mc&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=7,aYO9WNIV4Mc,2020-03-14T22:32:19Z,6
8,AI 3 008,https://www.youtube.com/watch?v=AHadxg4b5MI&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=8,AHadxg4b5MI,2020-03-14T22:32:25Z,7
9,AI 3 009,https://www.youtube.com/watch?v=mFlRILXvr6k&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=9,mFlRILXvr6k,2020-03-14T22:32:31Z,8
10,AI 3 010,https://www.youtube.com/watch?v=sjBokvtQwAo&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=10,sjBokvtQwAo,2020-03-14T22:32:39Z,9
11,AI 3 011,https://www.youtube.com/watch?v=c5fpfU4MZio&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=11,c5fpfU4MZio,2020-03-14T22:32:44Z,10
12,AI 3 012,https://www.youtube.com/watch?v=IFcOXON8j2g&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=12,IFcOXON8j2g,2020-03-14T22:32:51Z,11
13,AI 3 013,https://www.youtube.com/watch?v=efnOcMxU_Us&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=13,efnOcMxU_Us,2020-03-14T22:32:59Z,12
14,AI 3 014,https://www.youtube.com/watch?v=W_-SuwZpwJc&list=PLpaAxb2gFfI_WD5pjXB0b70O0J9EyOLHI&index=14,W_-SuwZpwJc,2020-03-14T22:33:04Z,13
