#,title,videoUrl,videoId,publishedAt,position
1,"1.1: Is this a...? (Yes, it is / No, it's not), What is it? (It's a...)",https://www.youtube.com/watch?v=dYkLP8jmLbY&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=1,dYkLP8jmLbY,2023-04-08T13:43:26Z,0
2,1.2: Is this a coin OR a lighter? (This is... / This isn't...),https://www.youtube.com/watch?v=mDi_K9-phxI&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=2,mDi_K9-phxI,2023-04-08T13:45:00Z,1
3,"1.3: What is it?, This is a..., THAT's a..., This isn't a..., THAT's not a...",https://www.youtube.com/watch?v=3efg5XwIo6s&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=3,3efg5XwIo6s,2023-04-08T13:46:10Z,2
4,"1.4: What is this?, What's that?, Is this a...?",https://www.youtube.com/watch?v=72kx12JUh74&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=4,72kx12JUh74,2023-04-08T13:47:20Z,3
5,"1.5: Is this a map OF...? No, it's not, What is it? It's a map OF...",https://www.youtube.com/watch?v=uBmY5MBVD3g&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=5,uBmY5MBVD3g,2023-04-08T13:48:33Z,4
6,"1.6: Is Madrid IN France?, Where is it?, It's IN Spain",https://www.youtube.com/watch?v=QBFmnjFhxWI&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=6,QBFmnjFhxWI,2023-04-08T13:49:34Z,5
7,1.7: Is Spain a CITY OR a COUNTRY?,https://www.youtube.com/watch?v=bT99uz02J1Y&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=7,bT99uz02J1Y,2023-04-08T13:50:35Z,6
8,1.8: IN THE NORTH OF or IN THE SOUTH OF?,https://www.youtube.com/watch?v=UUopVQx9TfI&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=8,UUopVQx9TfI,2023-04-08T13:51:33Z,7
9,1.9: Is the Mississippi a RIVER OR a STREET?,https://www.youtube.com/watch?v=yVndiOF6nWA&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=9,yVndiOF6nWA,2023-04-08T13:52:34Z,8
10,1.10: Is London a BIG CITY or a SMALL CITY?,https://www.youtube.com/watch?v=wxSpYzB01T0&list=PLAz9gX__ElWpQ0wYCzec4AenQ91t3n7jT&index=10,wxSpYzB01T0,2023-04-08T13:53:28Z,9
