#,title,videoUrl,videoId,publishedAt,position
1,AI 1 001,https://www.youtube.com/watch?v=VJtfPzvrQUE&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=1,VJtfPzvrQUE,2020-03-01T23:44:43Z,0
2,AI 1 002,https://www.youtube.com/watch?v=YhL-hINk3Og&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=2,YhL-hINk3Og,2020-03-01T23:44:35Z,1
3,AI 1 003,https://www.youtube.com/watch?v=r55mxOthUzo&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=3,r55mxOthUzo,2020-03-01T23:44:31Z,2
4,AI 1 004,https://www.youtube.com/watch?v=T4tk__OBVto&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=4,T4tk__OBVto,2020-03-01T23:44:27Z,3
5,AI 1 005,https://www.youtube.com/watch?v=3Aqs7us-EJk&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=5,3Aqs7us-EJk,2020-03-01T23:24:25Z,4
6,AI 1 006,https://www.youtube.com/watch?v=FflUYeMdcJQ&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=6,FflUYeMdcJQ,2020-03-01T23:45:24Z,5
7,AI 1 007,https://www.youtube.com/watch?v=TbwzE5iYvVQ&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=7,TbwzE5iYvVQ,2020-03-01T23:45:20Z,6
8,AI 1 008,https://www.youtube.com/watch?v=sIMNMN8-Qm0&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=8,sIMNMN8-Qm0,2020-03-01T23:25:05Z,7
9,AI 1 009,https://www.youtube.com/watch?v=4nTXGlzUxwg&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=9,4nTXGlzUxwg,2020-03-01T23:45:16Z,8
10,AI 1 010,https://www.youtube.com/watch?v=gXVdgMccg4w&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=10,gXVdgMccg4w,2020-03-01T23:45:10Z,9
11,AI 1 011,https://www.youtube.com/watch?v=UAH_Algh0A8&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=11,UAH_Algh0A8,2020-03-01T23:45:05Z,10
12,AI 1 012,https://www.youtube.com/watch?v=Su7IRABUBJQ&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=12,Su7IRABUBJQ,2020-03-01T23:45:01Z,11
13,AI 1 013,https://www.youtube.com/watch?v=FeHwl-QadHs&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=13,FeHwl-QadHs,2020-03-01T23:44:57Z,12
14,AI 1 014,https://www.youtube.com/watch?v=IgQCtG1FVb8&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=14,IgQCtG1FVb8,2020-03-01T23:44:52Z,13
15,AI 1 015,https://www.youtube.com/watch?v=T48qnxajw74&list=PLpaAxb2gFfI_vqQgeV1TQ6F5B63JrehQY&index=15,T48qnxajw74,2020-03-01T23:44:46Z,14
