#,title,videoUrl,videoId,publishedAt,position
1,"2.1: I played / worked, I usually... but I didn't & The people are...",https://www.youtube.com/watch?v=q9qjBM2zbG4&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=1,q9qjBM2zbG4,2023-05-01T19:27:38Z,0
2,"2.2: I played / I didn't play, I usually... but I didn't & The people in... are...",https://www.youtube.com/watch?v=MGfO8M6HDsQ&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=2,MGfO8M6HDsQ,2023-05-01T19:28:29Z,1
3,2.3: I break / I broke & On the 1st of April...,https://www.youtube.com/watch?v=i_rfcyDx6bU&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=3,i_rfcyDx6bU,2023-05-01T19:28:47Z,2
4,"2.4: Did you...? (Yes, I did / No, I didn't) & When / Who / Why did you...?",https://www.youtube.com/watch?v=HLWr-r9mGTk&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=4,HLWr-r9mGTk,2023-05-01T19:29:41Z,3
5,"*2.5: I cut myself, I'll / I won't & I don't think I'll...",https://www.youtube.com/watch?v=K4XJhlbWr7w&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=5,K4XJhlbWr7w,2023-05-01T19:30:14Z,4
6,AI 2 006 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=dcgMzul09fQ&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=6,dcgMzul09fQ,2023-05-01T19:30:35Z,5
7,AI 2 007 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=ajVyM-ecC6k&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=7,ajVyM-ecC6k,2023-05-01T19:47:08Z,6
8,AI 2 008 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=OHM2ABA91Uk&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=8,OHM2ABA91Uk,2023-05-01T19:47:30Z,7
9,AI 2 009 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=jVYAHZGHUNw&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=9,jVYAHZGHUNw,2023-05-01T19:47:48Z,8
10,AI 2 010 ia 480p 25fps H264 128kbit AAC,https://www.youtube.com/watch?v=5Tdek7fVlPo&list=PLAz9gX__ElWorwvQHOLm-bvFigMyDvuX2&index=10,5Tdek7fVlPo,2023-05-01T19:48:08Z,9
